Event,Date
Treaty of Rapallo,16 Apr 1922
Treaty of Berlin,24 Apr 1926
Jinan Incident,3 May 1928
Second London Naval Conference,21 Jan 1930 - 22 Apr 1930
Xinjiang Wars,20 Feb 1931 - 30 Oct 1937
Mukden Incident,18 Sep 1931 - 19 Sep 1931
Battle of Qiqihar,4 Nov 1931 - 18 Nov 1931
Battle of Jinzhou,21 Dec 1931 - 3 Jan 1932
Battle of Harbin and Establishment of Manchukuo,25 Jan 1932 - 4 Feb 1932
First Battle of Shanghai,28 Jan 1932 - 8 Mar 1932
First Battle of Hebei,1 Jan 1933 - 22 May 1933
The Reichstag Fire,27 Feb 1933
Balkan Pact,9 Feb 1934
Japan's Refusal of Washington Treaty,19 Dec 1934
Anglo-German Naval Agreement,18 Jun 1935
Invasion of Abyssinia,3 Oct 1935 - 5 May 1936
Third London Naval Conference,9 Dec 1935 - 25 Mar 1936
Hoare-Laval Pact,10 Dec 1935
Re-militarization of Rhineland,7 Mar 1936
Tauran Incident,11 Mar 1936
The Spanish Civil War,17 Jul 1936 - 4 Apr 1939
Battle of Suiyuan,20 Oct 1936 - 17 Nov 1936
Anti-Comintern Pact,25 Nov 1936
Xi'an Incident,12 Dec 1936 - 24 Dec 1936
Lugou Bridge Incident and Second Battle of Hebei,7 Jul 1937 - 8 Aug 1937
Battle of Chahar,1 Aug 1937 - 12 Aug 1937
Beiping-Hankou Railway and Tianjin-Pukou Railway Operations,1 Aug 1937 - 31 Dec 1937
Second Battle of Shanghai,13 Aug 1937 - 9 Nov 1937
"Bombing of Shanghai, Chongqing, and other Cities",15 Aug 1937 - 23 Aug 1943
Battle of Shanxi,1 Sep 1937 - 11 Nov 1937
Hossbach Conference,5 Nov 1937
Battle of Nanjing and the Rape of Nanjing,9 Dec 1937 - 31 Jan 1938
Burma Road and the Hump,1 Jan 1938 - 10 Nov 1945
Henan Campaign,7 Feb 1938 - 10 Jun 1938
Annexation of Austria,12 Mar 1938 - 10 Apr 1938
Meeting at Brenner Pass,18 Mar 1938
Battle of Xuzhou,24 Mar 1938 - 1 May 1938
Battle of Xiamen,10 May 1938 - 12 May 1938
Battle of Wuhan,11 Jun 1938 - 27 Oct 1938
Battle of Lake Khasan,29 Jul 1938 - 11 Aug 1938
Munich Conference and the Annexation of Sudetenland,29 Sep 1938 - 10 Oct 1938
Guangdong Operation,12 Oct 1938 - 31 Dec 1938
The Danzig Crisis,24 Oct 1938 - 29 Aug 1939
First Vienna Arbitration,2 Nov 1938
Kristallnacht,9 Nov 1938 - 11 Nov 1938
Battle of Hainan,9 Feb 1939 - 12 Feb 1939
Dismemberment of Czechoslovakia,14 Mar 1939 - 17 Mar 1939
Battle of Nanchang,17 Mar 1939 - 9 May 1939
Annexation of Klaipeda,22 Mar 1939
The Slovak-Hungarian War,23 Mar 1939 - 31 Mar 1939
Invasion of Albania,7 Apr 1939 - 12 Apr 1939
Battle of Suixian-Zaoyang,20 Apr 1939 - 24 May 1939
Battle of Khalkhin Gol,11 May 1939 - 31 Aug 1939
The Pact of Steel,22 May 1939
Tianjin Incident,14 Jun 1939 - 20 Aug 1939
Churchill's Tour of the Maginot Line,16 Aug 1939
Molotov-Ribbentrop Pact,23 Aug 1939
Polish-British Common Defense Pact,25 Aug 1939
Operation Peking,29 Aug 1939 - 1 Sep 1939
Invasion of Poland,1 Sep 1939 - 6 Oct 1939
Start of the Battle of the Atlantic,3 Sep 1939 - 30 Jun 1940
British Pet Massacre,3 Sep 1939 - 11 May 1941
United States Neutrality Patrol,5 Sep 1939 - 11 Dec 1941
First Battle of Changsha,17 Sep 1939 - 6 Oct 1939
Gestapo-NKVD Conferences,27 Sep 1939 - 31 Mar 1940
The Winter War,30 Nov 1939 - 13 Mar 1940
Winter Offensive,1 Dec 1939 - 30 Mar 1940
Battle of the River Plate,13 Dec 1939 - 17 Dec 1939
"Deportation of Caucasian, Altaic, and Turkish Peoples",1 Jan 1940 - 29 Dec 1944
Enigma Code Broken,14 Jan 1940
Battle of Wuyuan,28 Jan 1940 - 3 Apr 1940
Altmark Incident,16 Feb 1940
Katyn Massacre and Related Atrocities,3 Apr 1940 - 19 May 1940
Invasion of Denmark and Norway,9 Apr 1940 - 10 Jun 1940
Battle of Zaoyang-Yichang,1 May 1940 - 18 Jun 1940
Invasion of France and the Low Countries,10 May 1940 - 22 Jun 1940
Invasion and Occupation of Iceland,10 May 1940 - 31 Dec 1945
Anti-Italian Riots,10 Jun 1940
