Name,Type,Location,Country
AG Vulcan Stettin ,Shipyard ,"Stettin, Pommern ",Germany 
Alamogordo Army Air Field ,Airfield ,"Alamogordo, New Mexico ",United States 
Ankang Airfield ,Airfield ,"Ankang, Shaanxi ",China 
Arlington Hall ,Government Building ,"Arlington, Virginia ",United States 
Arsenal de Brest ,"Shipyard, Naval Port ","Brest, Bretagne ",France 
Atlas Werke AG ,Shipyard ,"Bremen, Weser-Ems ",Germany 
Atsugi Airfield ,Airfield ,"Ayase, Kanagawa ",Japan 
Auschwitz Concentration Camp ,Prison Camp ,Oswiecim ,Poland 
Baishiyi Airfield ,Airfield ,Chongqing ,China 
Barbers Point Naval Air Station ,Airfield ,"Kapolei, Oahu ",Hawaii 
Bellows Army Air Field ,Airfield ,"Waimanalo, Oahu ",Hawaii 
Belzec Concentration Camp ,Prison Camp ,"Belzec, Lublin ",Poland 
Bergen-Belsen Concentration Camp ,Prison Camp ,"Bergen, Ost-Hannover ",Germany 
Berlin Zoo Flak Tower ,Fortification ,Berlin ,Germany 
Bethlehem Fore River Shipyard ,Shipyard ,"Quincy, Massachusetts ",United States 
Bethlehem San Francisco Shipyard ,Shipyard ,"San Francisco, California ",United States 
Bethlehem San Pedro Shipyard ,Shipyard ,"San Pedro, California ",United States 
Bletchley Park ,Other ,"Milton Keynes, England ",United Kingdom 
Blohm und Voss ,Shipyard ,Hamburg ,Germany 
Bluie East Five ,Other ,North Greenland ,Greenland 
Bluie East Four ,Other ,"Ella, North Greenland ",Greenland 
Bluie East One ,Other ,South Greenland ,Greenland 
Bluie East Three ,Other ,North Greenland ,Greenland 
Bluie East Two ,Airfield ,"Ikateq, South Greenland ",Greenland 
Bluie West Eight ,Airfield ,South Greenland ,Greenland 
Bluie West Five ,Other ,"Egedesminde, South Greenland ",Greenland 
Bluie West Four ,Airfield ,South Greenland ,Greenland 
Bluie West One ,Airfield ,"Narsarsuaq, South Greenland ",Greenland 
Bluie West Seven ,Army Base ,"Ivigtut, South Greenland ",Greenland 
Bluie West Six ,Other ,"Thule, North Greenland ",Greenland 
Bluie West Three ,Other ,"Simiutak, South Greenland ",Greenland 
Borinquen Field ,Airfield ,Aguadilla ,Puerto Rico 
Boston Navy Yard ,Shipyard ,"Boston, Massachusetts ",United States 
Bremer Vulkan AG ,Shipyard ,"Bremen, Weser-Ems ",Germany 
Buchenwald Concentration Camp ,Prison Camp ,"Weimar, Weimar ",Germany 
Burbank Lockheed Aircraft Factory ,Factory ,"Burbank, California ",United States 
Busan Base ,Army Base ,"Busan, Gyeongsangnam ",Korea 
Camp Aliceville ,Prison Camp ,"Aliceville, Alabama ",United States 
Camp Atterbury ,"Army Base, Prison Camp ","Edinburgh, Indiana ",United States 
Camp Carson ,"Army Base, Prison Camp ","El Paso, Colorado ",United States 
Camp Concordia ,Prison Camp ,"Concordia, Kansas ",United States 
