Name,Class,Country,Launch Year
Abukuma ,Nagara-class Light Cruiser ,Japan ,1923 
Acasta ,A and B-class Destroyer ,United Kingdom ,1929 
Activity ,Activity-class Escort Carrier ,United Kingdom ,1942 
Adelaide ,Town-class Light Cruiser ,Australia ,1918 
Admiral Graf Spee ,Deutschland-class Heavy Cruiser ,Germany ,1934 
Admiral Hipper ,Admiral Hipper-class Heavy Cruiser ,Germany ,1937 
Admiral Scheer ,Deutschland-class Heavy Cruiser ,Germany ,1933 
Adolf Lƒderitz ,Carl Peters-class Tender ,Germany ,1939 
Agano ,Agano-class Light Cruiser ,Japan ,1941 
Akagi ,Akagi-class Aircraft Carrier ,Japan ,1925 
Akashi ,Akashi-class Repair Ship ,Japan ,1938 
Alabama ,South Dakota-class Battleship ,United States ,1942 
Alaska ,Alaska-class Large Cruiser ,United States ,1943 
Albacore ,Gato-class Submarine ,United States ,1942 
Albatros ,1923-class Motor Torpedo Boat ,Germany ,1926 
Albert Leo Schlageter ,Gorch Fock-class Barque ,Germany ,1937 
Albert W. Grant ,Fletcher-class Destroyer ,United States ,1943 
Algƒ©rie ,Algƒ©rie-class Heavy Cruiser ,France ,1932 
Altmark ,Dithmarschen-class Auxiliary ,Germany ,1937 
Amagi ,Unryu-class Aircraft Carrier ,Japan ,1943 
Amagiri ,Fubuki-class Destroyer ,Japan ,1930 
Ameer ,Ruler-class Escort Carrier ,United Kingdom ,1942 
Ancon ,No Classification ,United States ,1938 
Ancylus ,Rapana-class Merchant Vessel ,United Kingdom ,1935 
Anticosti ,Isles-class Trawler ,Canada ,1942 
Anzio ,Casablanca-class Escort Carrier ,United States ,1943 
Aoba ,Furutaka-class Heavy Cruiser ,Japan ,1926 
Apogon ,Balao-class Submarine ,United States ,1943 
Arbiter ,Ruler-class Escort Carrier ,United Kingdom ,1943 
Argus ,Argus-class Aircraft Carrier ,United Kingdom ,1917 
Arizona ,Pennsylvania-class Battleship ,United States ,1915 
Ark Royal ,Ark Royal-class Aircraft Carrier ,United Kingdom ,1937 
Armidale ,Bathurst-class Corvette ,Australia ,1942 
Asama Maru ,No Classification ,Japan ,1928 
Ascari ,Soldati-class Destroyer ,Italy ,1938 
Ashigara ,Myoko-class Heavy Cruiser ,Japan ,1928 
Astoria (New Orleans-class) ,New Orleans-class Heavy Cruiser ,United States ,1933 
Atago ,Takao-class Heavy Cruiser ,Japan ,1930 
Atlanta ,Atlanta-class Light Cruiser ,United States ,1941 
Atlantis ,No Classification ,Germany ,1937 
Augusta ,Northampton-class Heavy Cruiser ,United States ,1930 
Austin ,Evarts-class Destroyer Escort ,United States ,1942 
Australia ,County-class Heavy Cruiser ,Australia ,1927 
Aviere ,Soldati-class Destroyer ,Italy ,1937 
Awa Maru ,No Classification ,Japan ,1942 
B (Planned) ,Graf Zeppelin-class Aircraft Carrier ,Germany ,"1940 (Projected, not actual) "
B…‚yskawica ,Grom-class Destroyer ,Poland ,1936 
Bailey ,Benson-class Destroyer ,United States ,1941 
Baltimore ,Baltimore-class Heavy Cruiser ,United States ,1942 
Barbero ,Balao-class Submarine ,United States ,1943 
Barham ,Queen Elizabeth-class Battleship ,United Kingdom ,1914 
Bataan (Independence-class) ,Independence-class Light Carrier ,United States ,1943 
Bataan (Tribal-class) ,Tribal-class Destroyer ,Australia ,1944 
Baya ,Balao-class Submarine ,United States ,1944 
Becuna ,Balao-class Submarine ,United States ,1944 
Belfast ,Town-class Light Cruiser ,United Kingdom ,1938 
Bell ,Fletcher-class Destroyer ,United States ,1942 
Belleau Wood ,Independence-class Light Carrier ,United States ,1942 
Bennington ,Essex-class Aircraft Carrier ,United States ,1944 
Bergall ,Balao-class Submarine ,United States ,1944 
Bersagliere ,Soldati-class Destroyer ,Italy ,1938 
Birmingham ,Town-class Light Cruiser ,United Kingdom ,1936 
Biscayne ,Barnegat-class Seaplane Tender ,United States ,1941 
Bismarck ,Bismarck-class Battleship ,Germany ,1939 
Blackfin ,Balao-class Submarine ,United States ,1944 
Blenny ,Balao-class Submarine ,United States ,1944 
Bluefish ,Gato-class Submarine ,United States ,1943 
Blƒcher ,Admiral Hipper-class Heavy Cruiser ,Germany ,1937 
Boarfish ,Balao-class Submarine ,United States ,1944 
Bolzano ,Trento-class Heavy Cruiser ,Italy ,1932 
Bowfin ,Balao-class Submarine ,United States ,1942 
Bremse ,No Classification ,Germany ,1932 
Bretagne ,Bretagne-class Battleship ,France ,1913 
Brill ,Balao-class Submarine ,United States ,1944 
Brummer ,No Classification ,Germany ,1935 
Bugara ,Balao-class Submarine ,United States ,1944 
Bunker Hill ,Essex-class Aircraft Carrier ,United States ,1942 
Burza ,Wicher-class Destroyer ,Poland ,1929 
C (Planned) ,Graf Zeppelin-class Aircraft Carrier ,Germany ,"1945 (Projected, not actual) "
Cabot ,Independence-class Light Carrier ,United States ,1943 
Cabrilla ,Balao-class Submarine ,United States ,1942 
